Time,Potential,J_0,J_1,J_2
3.04,0.40000000000000036,0.6308124912902713,0.6053855358622968,0.6146033478435129
3.0500000000000003,0.5000000000000036,0.6701782611198723,0.6428485359065235,0.6524913161993027
3.06,0.6000000000000014,0.7053410089574754,0.6764386324211955,0.6859491937793791
3.0700000000000003,0.7000000000000028,0.7360771563835442,0.7064420846290886,0.7166025480255485
3.08,0.8000000000000007,0.7628321791999042,0.7324547409079969,0.7423735409975052
3.09,0.8999999999999986,0.7854583859443665,0.7546311262995005,0.7642934010364115
3.1,1.0,0.8037870591506362,0.7728870105929673,0.7831155830062926
3.11,1.0999999999999979,0.8185827191919088,0.7879109079949558,0.7963657635264099
3.12,1.200000000000001,0.8297960520721972,0.7991978186182678,0.8079147161915898
3.13,1.299999999999999,0.837685767095536,0.807524430565536,0.8159171184524894
3.14,1.4000000000000021,0.8424386833794415,0.8127428363077343,0.8198798587545753
3.15,1.5,0.8446746221743524,0.8152941334992647,0.822718323674053
3.16,1.6000000000000014,0.8441706486046314,0.8154664728790522,0.8225914002396166
3.17,1.6999999999999993,0.8414363381452858,0.8134103394113481,0.8194046407006681
3.18,1.8000000000000007,0.836699144449085,0.8092822255566716,0.8152261697687209
3.19,1.8999999999999986,0.8302432843483984,0.8034822982735932,0.8090168293565512
3.2,2.0000000000000018,0.8221965543925762,0.7961011477746069,0.801172252278775
3.21,2.0999999999999996,0.8129212856292725,0.7874538437463343,0.7924492130987346
3.22,2.200000000000003,0.8024870418012142,0.7777186958119273,0.7821099977008998
3.23,2.3000000000000007,0.7910715164616704,0.7668507667258382,0.7715456197038293
3.24,2.400000000000002,0.778866637032479,0.7552494946867228,0.7597390776500106
3.25,2.5,0.7660441906191409,0.7428138488903642,0.7472756216302514
3.2600000000000002,2.6000000000000014,0.7528057340532541,0.7300178082659841,0.7346788309514523
3.27,2.6999999999999993,0.7390467999503016,0.7166323163546622,0.7211239514872432
3.2800000000000002,2.8000000000000025,0.7252007001079619,0.7029683720320463,0.7077823802828789
3.29,2.9000000000000004,0.7110982090234756,0.689134243875742,0.6944359638728201
3.3000000000000003,3.0000000000000036,0.6969255791045725,0.6751198493875563,0.6805272181518376
3.31,3.1000000000000014,0.6827446795068681,0.6609940864145756,0.6668020347133279
3.3200000000000003,3.200000000000003,0.6685252203606069,0.646947814617306,0.6530230371281505
3.33,3.3000000000000007,0.654395873658359,0.63295376021415,0.6393794128671288
3.34,3.3999999999999986,0.6405085031874478,0.6190573233179748,0.6261505223810673
